# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);4.000
# Site longitude (positive means East);5.000
# Site altitude (m);0
# Date beginning;2020-05-01
# Date end;2020-05-02
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2020-05-01;01:00;302.10;74.09;1012.69;2.93;189.95;0.021404;0.000000;0.000000;0.0000
2020-05-01;02:00;302.01;75.20;1012.07;2.92;190.18;0.057185;0.000000;0.000000;0.0000
2020-05-01;03:00;301.94;76.35;1011.59;2.91;193.29;0.078052;0.000000;0.000000;0.0000
2020-05-01;04:00;301.88;77.61;1011.51;2.96;200.90;0.200951;0.000000;0.000000;0.0000
2020-05-01;05:00;301.86;78.90;1011.84;3.02;206.90;0.225091;0.000000;0.000000;0.0000
2020-05-01;06:00;301.88;79.94;1012.46;3.15;206.78;0.322294;0.000000;0.000000;3.1963
2020-05-01;07:00;301.92;80.95;1013.23;3.41;200.43;0.443959;0.000000;0.000000;45.6250
2020-05-01;08:00;301.96;82.16;1014.10;4.01;192.36;0.489664;0.000000;0.000000;114.0312
2020-05-01;09:00;301.95;83.31;1014.57;4.81;186.57;0.664759;0.000000;0.000000;180.3125
2020-05-01;10:00;301.91;83.83;1014.61;5.40;184.93;0.701666;0.000000;0.000000;247.8750
2020-05-01;11:00;301.86;83.71;1014.33;5.74;185.61;0.566054;0.000000;0.000000;316.7500
2020-05-01;12:00;301.79;83.10;1013.67;5.85;186.69;0.371325;0.000000;0.000000;353.1250
2020-05-01;13:00;301.71;82.19;1012.71;5.70;188.79;0.108120;0.000000;0.000000;395.7500
2020-05-01;14:00;301.69;80.84;1011.77;5.27;192.17;0.041842;0.000000;0.000000;369.1250
2020-05-01;15:00;301.71;79.44;1011.06;4.48;197.06;0.033662;0.000000;0.000000;301.1250
2020-05-01;16:00;301.73;78.30;1010.92;3.50;204.55;0.022524;0.000000;0.000000;215.2500
2020-05-01;17:00;301.73;77.81;1011.16;2.84;211.96;0.052343;0.000000;0.000000;110.5938
2020-05-01;18:00;301.75;77.75;1011.55;2.53;215.42;0.037913;0.000000;0.000000;15.7812
2020-05-01;19:00;301.75;77.69;1012.25;2.25;217.20;0.022752;0.000000;0.000000;0.0000
2020-05-01;20:00;301.76;77.10;1013.08;1.81;222.35;0.012382;0.000000;0.000000;0.0000
2020-05-01;21:00;301.77;76.72;1013.76;1.53;233.66;0.018246;0.000000;0.000000;0.0000
2020-05-01;22:00;301.75;77.09;1014.04;1.61;247.72;0.016771;0.000000;0.000000;0.0000
2020-05-01;23:00;301.70;77.86;1013.74;1.75;258.84;0.017964;0.000000;0.000000;0.0000
2020-05-01;24:00;301.62;78.51;1013.07;1.76;268.75;0.013441;0.000000;0.000000;0.0000
2020-05-02;01:00;301.54;78.86;1012.38;1.64;274.71;0.025930;0.000000;0.000000;0.0000
2020-05-02;02:00;301.47;79.22;1011.86;1.44;273.65;0.037779;0.000000;0.000000;0.0000
2020-05-02;03:00;301.40;79.74;1011.52;1.23;261.20;0.060564;0.000000;0.000000;0.0000
2020-05-02;04:00;301.35;80.10;1011.58;1.14;237.25;0.066894;0.000000;0.000000;0.0000
2020-05-02;05:00;301.31;80.51;1011.87;1.24;212.56;0.105760;0.000000;0.000000;0.0000
2020-05-02;06:00;301.29;81.06;1012.29;1.58;196.76;0.110561;0.000000;0.000000;3.3145
2020-05-02;07:00;301.31;81.67;1012.80;1.93;190.19;0.127083;0.000000;0.000000;53.0781
2020-05-02;08:00;301.34;81.96;1013.40;2.17;187.16;0.181425;0.000000;0.000000;135.3750
2020-05-02;09:00;301.35;82.25;1013.73;2.40;183.64;0.203365;0.000000;0.000000;209.8125
2020-05-02;10:00;301.40;82.52;1013.77;2.67;183.22;0.164634;0.000000;0.000000;291.8750
2020-05-02;11:00;301.45;82.86;1013.42;2.95;184.04;0.249553;0.000000;0.000000;394.3750
2020-05-02;12:00;301.44;83.24;1012.80;3.13;186.13;0.282919;0.000000;0.000000;406.6250
2020-05-02;13:00;301.42;83.65;1012.05;3.28;189.49;0.245583;0.000000;0.000000;407.7500
2020-05-02;14:00;301.40;83.89;1011.30;3.36;190.78;0.286889;0.000000;0.000000;354.1250
2020-05-02;15:00;301.41;83.93;1010.77;3.38;191.92;0.186199;0.000000;0.000000;258.5000
2020-05-02;16:00;301.41;83.72;1010.54;3.28;191.38;0.211465;0.000000;0.000000;172.8125
2020-05-02;17:00;301.46;83.47;1010.67;3.29;192.18;0.257063;0.000000;0.000000;80.4062
2020-05-02;18:00;301.51;83.42;1010.99;3.41;193.82;0.199825;0.000000;0.000000;12.4922
2020-05-02;19:00;301.56;83.46;1011.31;3.56;195.50;0.243115;0.000000;0.000000;0.0000
2020-05-02;20:00;301.60;83.48;1011.64;3.70;197.63;0.295258;0.000000;0.000000;0.0000
2020-05-02;21:00;301.62;83.57;1011.94;3.79;199.35;0.252235;0.000000;0.000000;0.0000
2020-05-02;22:00;301.61;83.98;1012.00;4.01;201.22;0.282812;0.000000;0.000000;0.0000
2020-05-02;23:00;301.57;84.48;1011.85;4.17;203.85;0.386882;0.000000;0.000000;0.0000
2020-05-02;24:00;301.52;84.93;1011.29;4.31;206.57;0.404477;0.000000;0.000000;0.0000
