,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude
0,1,Maharashtra,Jalgaon,13539669360.996515,846430.8152424421,50098,5387,43426,1285,0,3679936.0,75.5757336671625,20.847010750649297
1,2,Maharashtra,Nashik,17713577305.771286,972005.60718845,82865,13676,67784,1405,0,4993796.0,74.1019008483447,20.273615684016512
2,3,Maharashtra,Chandrapur,12945322585.541868,741024.4338459367,11822,3574,8091,157,1,2071101.0,79.31194084148144,20.13175510883184
3,4,Maharashtra,Yavatmal,15479400935.692009,1014941.8657990992,9472,1510,7702,260,0,2077144.0,78.08899850412047,20.011791640013318
4,5,Maharashtra,Nanded,11863874089.417131,1131732.187900762,17148,4312,12390,446,1,2876259.0,77.60777042948725,19.13638457134929
5,6,Maharashtra,Pune,17512052860.50362,1086957.107352183,308434,57926,244434,6073,0,7224224.0,74.0493152983618,18.67467799689554
6,7,Andhra Pradesh,Srikakulam,6565447726.578529,732974.6554657237,40980,2337,38316,327,1,2699471.0,84.05396242341892,18.672962282247976
7,8,Andhra Pradesh,Visakhapatnam,12883992501.104122,1056722.1485516557,51680,2913,48308,459,1,4288113.0,82.74522241568215,17.918711980806574
8,9,Karnataka,Bidar,6048725116.620293,576381.4441949631,6640,396,6081,159,1,1703300.0,77.19843547523442,17.958030074020606
9,10,Karnataka,Kalaburagi,12077699812.133814,940252.8199506457,18182,2193,15699,290,1,2566326.0,76.86579375970146,17.28296265208521
10,11,Maharashtra,Sangli,9475626503.43782,990449.0649364956,41147,7091,32774,1282,1,2583524.0,74.76906783828603,17.1381583948924
11,12,Andhra Pradesh,Krishna,9576531627.085579,897633.0251466314,30311,2733,27097,481,0,4529009.0,80.71017566789243,16.621238168715962
12,13,Karnataka,Yadgir,5776520262.9722395,575750.2860645528,9259,1045,8158,56,2,1174271.0,76.90906960094374,16.580287601795604
13,14,Karnataka,Bagalkot,7147971190.345554,696275.6727955729,11288,671,10501,116,1,1889752,75.60680336540449,16.19591801698675
14,15,Andhra Pradesh,Guntur,12447167546.022331,840955.6083621639,58106,5178,52377,551,0,4889230.0,80.18140196810572,16.13501438345319
15,16,Andhra Pradesh,East Godavari,14316977386.78281,1019745.9346136716,103246,9051,93642,553,1,5151549.0,81.97386523575905,17.23203199914749
16,17,Andhra Pradesh,Prakasam,19113798621.070427,875962.5602974489,52411,4611,47294,506,1,3392764.0,79.57601987362338,15.570925531635345
17,18,Andhra Pradesh,Kurnool,19139870745.1592,947241.6209140336,57425,1623,55330,472,0,4046601.0,77.99182793475416,15.492646099145723
18,19,Karnataka,Gadag,5041393184.622803,587894.3612415643,9742,607,9000,135,1,1064570.0,75.67731943630146,15.499521844082913
19,20,Karnataka,Ballari,9132577172.894476,816596.2481057881,33763,2850,30428,485,1,2452595.0,76.55228565083279,15.126163257539131
