,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
0,1,Maharashtra,Jalgaon,13539669360.996515,846430.8152424421,50098,5387,43426,1285,0,3679936.0,75.5757336671625,20.847010750649297,308.37,23.87,966.23,4.7,315.61,0.001023,0.0,0.0,7387.116
1,2,Maharashtra,Nashik,17713577305.771286,972005.60718845,82865,13676,67784,1405,0,4993796.0,74.1019008483447,20.273615684016512,304.67,39.49,946.62,3.85,299.27,0.016242,0.0,0.0,6881.692
2,3,Maharashtra,Chandrapur,12945322585.541868,741024.4338459367,11822,3574,8091,157,1,2071101.0,79.31194084148144,20.13175510883184,309.31,23.72,979.54,0.56,279.09,1e-06,0.0,0.0,7552.757
3,4,Maharashtra,Yavatmal,15479400935.692009,1014941.8657990992,9472,1510,7702,260,0,2077144.0,78.08899850412047,20.011791640013318,309.29,20.82,969.33,1.24,300.1,1e-06,0.0,0.0,7178.965
4,5,Maharashtra,Nanded,11863874089.417131,1131732.187900762,17148,4312,12390,446,1,2876259.0,77.60777042948725,19.13638457134929,308.89,22.19,961.3,0.42,358.68,2.8000000000000003e-05,0.0,0.0,6800.252
5,6,Maharashtra,Pune,17512052860.50362,1086957.107352183,308434,57926,244434,6073,0,7224224.0,74.0493152983618,18.67467799689554,304.01,43.88,940.1,3.84,318.69,0.100637,0.0,0.0,6956.323
6,7,Andhra Pradesh,Srikakulam,6565447726.578529,732974.6554657237,40980,2337,38316,327,1,2699471.0,84.05396242341892,18.672962282247976,304.02,62.13,990.22,1.82,191.0,1.069719,0.0,0.0,7102.106
7,8,Andhra Pradesh,Visakhapatnam,12883992501.104122,1056722.1485516557,51680,2913,48308,459,1,4288113.0,82.74522241568215,17.918711980806574,301.87,63.13,956.16,1.93,279.89,0.744061,0.0,0.0,7069.804
8,9,Karnataka,Bidar,6048725116.620293,576381.4441949631,6640,396,6081,159,1,1703300.0,77.19843547523442,17.958030074020606,308.11,27.08,944.49,0.35,222.42,0.002565,0.0,0.0,7139.315
9,10,Karnataka,Kalaburagi,12077699812.133814,940252.8199506457,18182,2193,15699,290,1,2566326.0,76.86579375970146,17.28296265208521,308.79,27.74,953.26,0.85,224.73,0.008529,0.0,0.0,7030.346
10,11,Maharashtra,Sangli,9475626503.43782,990449.0649364956,41147,7091,32774,1282,1,2583524.0,74.76906783828603,17.1381583948924,304.88,41.45,939.14,3.29,303.31,0.0744,0.0,0.0,7194.216
11,12,Andhra Pradesh,Krishna,9576531627.085579,897633.0251466314,30311,2733,27097,481,0,4529009.0,80.71017566789243,16.621238168715962,306.48,50.7,1000.41,1.96,177.16,0.260716,0.0,0.0,7312.608
12,13,Karnataka,Yadgir,5776520262.9722395,575750.2860645528,9259,1045,8158,56,2,1174271.0,76.90906960094374,16.580287601795604,308.65,30.04,960.14,1.02,219.98,0.023226,0.0,0.0,7133.006
13,14,Karnataka,Bagalkot,7147971190.345554,696275.6727955729,11288,671,10501,116,1,1889752,75.60680336540449,16.19591801698675,305.01,43.06,943.64,2.83,272.72,0.354258,0.0,0.0,6783.504
14,15,Andhra Pradesh,Guntur,12447167546.022331,840955.6083621639,58106,5178,52377,551,0,4889230.0,80.18140196810572,16.13501438345319,307.16,46.33,999.99,2.43,165.29,0.197156,0.0,0.0,7259.22
15,16,Andhra Pradesh,East Godavari,14316977386.78281,1019745.9346136716,103246,9051,93642,553,1,5151549.0,81.97386523575905,17.23203199914749,304.16,61.61,986.57,1.34,227.28,0.6872699999999999,0.0,0.0,7297.688
