,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
0,13539669360.996515,846430.8152424421,50098,5387,43426,1285,-1,3679936.0,308.37,23.87,966.23,4.7,315.61,0.001023,0.0,0.0,7387.116
1,17713577305.771286,972005.60718845,82865,13676,67784,1405,-1,4993796.0,304.67,39.49,946.62,3.85,299.27,0.016242,0.0,0.0,6881.692
2,12945322585.541868,741024.4338459367,11822,3574,8091,157,0,2071101.0,309.31,23.72,979.54,0.56,279.09,1e-06,0.0,0.0,7552.757
3,15479400935.692009,1014941.8657990992,9472,1510,7702,260,-1,2077144.0,309.29,20.82,969.33,1.24,300.1,1e-06,0.0,0.0,7178.965
4,11863874089.417131,1131732.187900762,17148,4312,12390,446,0,2876259.0,308.89,22.19,961.3,0.42,358.68,2.8000000000000003e-05,0.0,0.0,6800.252
5,17512052860.50362,1086957.107352183,308434,57926,244434,6073,-1,7224224.0,304.01,43.88,940.1,3.84,318.69,0.100637,0.0,0.0,6956.323
6,6565447726.578529,732974.6554657237,40980,2337,38316,327,0,2699471.0,304.02,62.13,990.22,1.82,191.0,1.069719,0.0,0.0,7102.106
7,12883992501.104122,1056722.1485516557,51680,2913,48308,459,0,4288113.0,301.87,63.13,956.16,1.93,279.89,0.744061,0.0,0.0,7069.804
8,6048725116.620293,576381.4441949631,6640,396,6081,159,0,1703300.0,308.11,27.08,944.49,0.35,222.42,0.002565,0.0,0.0,7139.315
9,12077699812.133814,940252.8199506457,18182,2193,15699,290,0,2566326.0,308.79,27.74,953.26,0.85,224.73,0.008529,0.0,0.0,7030.346
10,9475626503.43782,990449.0649364956,41147,7091,32774,1282,0,2583524.0,304.88,41.45,939.14,3.29,303.31,0.0744,0.0,0.0,7194.216
11,9576531627.085579,897633.0251466314,30311,2733,27097,481,-1,4529009.0,306.48,50.7,1000.41,1.96,177.16,0.260716,0.0,0.0,7312.608
12,5776520262.9722395,575750.2860645528,9259,1045,8158,56,1,1174271.0,308.65,30.04,960.14,1.02,219.98,0.023226,0.0,0.0,7133.006
