# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);23.000
# Site longitude (positive means East);58.000
# Site altitude (m);612
# Date beginning;2020-04-01
# Date end;2020-05-01
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2020-04-01;24:00;296.92;48.70;942.26;0.81;79.49;0.177478;0.000000;0.000000;7642.5450
2020-04-02;24:00;297.52;50.74;941.29;0.64;208.06;0.047939;0.000000;0.000000;7474.4200
2020-04-03;24:00;299.63;37.62;941.80;0.99;228.27;0.000000;0.000000;0.000000;7231.8500
2020-04-04;24:00;300.45;35.94;943.16;1.37;5.24;0.000003;0.000000;0.000000;7185.4940
2020-04-05;24:00;301.56;39.89;943.36;1.26;289.41;0.013613;0.000000;0.000000;5241.1670
2020-04-06;24:00;301.24;34.17;941.96;2.21;295.02;0.000015;0.000000;0.000000;7158.5790
2020-04-07;24:00;298.97;27.55;940.20;2.70;334.35;0.000000;0.000000;0.000000;7996.1910
2020-04-08;24:00;300.85;29.58;940.48;1.33;3.49;0.000000;0.000000;0.000000;7629.6320
2020-04-09;24:00;301.14;32.52;940.98;1.90;49.43;0.000000;0.000000;0.000000;7605.7110
2020-04-10;24:00;300.92;35.01;941.26;2.63;160.95;0.000000;0.000000;0.000000;7613.3110
2020-04-11;24:00;299.55;39.89;942.02;3.82;166.77;0.011478;0.000000;0.000000;7523.1810
2020-04-12;24:00;298.83;46.88;941.72;3.86;203.95;0.086784;0.000000;0.000000;7326.8180
2020-04-13;24:00;297.76;50.99;941.18;3.10;208.76;0.029498;0.000000;0.000000;4198.4220
2020-04-14;24:00;297.95;48.49;941.74;1.63;208.21;0.020043;0.000000;0.000000;4984.4280
2020-04-15;24:00;297.96;47.52;941.80;3.02;200.80;0.001602;0.000000;0.000000;5080.8210
2020-04-16;24:00;297.06;50.07;940.11;3.60;217.55;0.028620;0.000000;0.000000;4675.2140
2020-04-17;24:00;298.76;52.33;939.47;1.88;272.47;0.112441;0.000000;0.000000;6882.6410
2020-04-18;24:00;299.75;41.01;940.55;2.44;247.84;0.008853;0.000000;0.000000;7796.2200
2020-04-19;24:00;301.20;43.39;940.53;2.59;219.22;0.002173;0.000000;0.000000;7248.9800
2020-04-20;24:00;301.57;39.93;940.61;2.09;227.55;0.000296;0.000000;0.000000;7539.3150
2020-04-21;24:00;302.07;37.56;941.01;3.55;224.42;0.004921;0.000000;0.000000;6330.7140
2020-04-22;24:00;301.96;37.57;940.30;1.72;273.89;0.109938;0.000000;0.000000;6451.7640
2020-04-23;24:00;302.42;30.32;940.17;3.25;308.87;0.000004;0.000000;0.000000;6828.6360
2020-04-24;24:00;303.51;24.40;938.66;4.04;308.09;0.000000;0.000000;0.000000;7900.8140
2020-04-25;24:00;303.78;19.02;938.17;1.67;342.36;0.000000;0.000000;0.000000;8221.1730
2020-04-26;24:00;305.02;20.31;937.87;0.89;344.00;0.000000;0.000000;0.000000;8151.1610
2020-04-27;24:00;306.37;22.18;938.61;2.46;242.27;0.000344;0.000000;0.000000;6919.2590
2020-04-28;24:00;305.66;26.36;940.06;1.51;305.87;0.037210;0.000000;0.000000;7032.4440
2020-04-29;24:00;305.38;29.61;939.85;0.81;86.43;1.687668;0.000000;0.000000;6211.8700
2020-04-30;24:00;306.00;29.01;939.52;3.59;201.87;0.029919;0.000000;0.000000;7304.9450
2020-05-01;24:00;305.59;30.30;939.00;3.07;220.08;0.004183;0.000000;0.000000;7071.4650
